State,Year,Salary,Source,Note
New Jersey,14,69704,ACS,
New Jersey,15,70596,ACS,
New Jersey,16,71388,ACS,
New Mexico,11,47507,ACS,
New Mexico,12,48307,ACS,
New Mexico,13,48155,ACS,
New Mexico,14,48583,ACS,
New Mexico,15,49069,ACS,
New Mexico,16,49434,ACS,
New York,11,71294,ACS,
New York,12,71632,ACS,
New York,13,72783,ACS,
New York,14,74028,ACS,
New York,15,75492,ACS,
New York,16,76840,ACS,
North Carolina,11,46992,ACS,
North Carolina,12,46849,ACS,
North Carolina,13,46698,ACS,
North Carolina,14,46590,ACS,
North Carolina,15,46497,ACS,
North Carolina,16,46512,ACS,
North Dakota,11,43592,ACS,
North Dakota,12,43974,ACS,
North Dakota,13,44738,ACS,
North Dakota,14,45504,ACS,
North Dakota,15,46221,ACS,
North Dakota,16,46818,ACS,
Ohio,11,58056,ACS,
Ohio,12,57985,ACS,
Ohio,13,58363,ACS,
Ohio,14,58739,ACS,
Ohio,15,59708,ACS,
Ohio,16,60319,ACS,
Oklahoma,11,41923,ACS,
Oklahoma,12,42337,ACS,
Oklahoma,13,42688,ACS,
Oklahoma,14,42678,ACS,
Oklahoma,15,43260,ACS,
Oklahoma,16,43669,ACS,
Oregon,11,53892,ACS,
Oregon,12,54273,ACS,
Oregon,13,54379,ACS,
Oregon,14,54451,ACS,
Oregon,15,54831,ACS,
Oregon,16,55619,ACS,
Pennsylvania,11,62719,ACS,
Pennsylvania,12,62508,ACS,
Pennsylvania,13,62362,ACS,
Pennsylvania,14,62493,ACS,
Pennsylvania,15,63488,ACS,
Pennsylvania,16,64757,ACS,
Rhode Island,11,66537,ACS,
Rhode Island,12,67949,ACS,
Rhode Island,13,68811,ACS,
Rhode Island,14,69385,ACS,
Rhode Island,15,70527,ACS,
Rhode Island,16,71749,ACS,
South Carolina,11,48828,ACS,
South Carolina,12,48922,ACS,
South Carolina,13,49173,ACS,
South Carolina,14,49198,ACS,
South Carolina,15,49045,ACS,
South Carolina,16,49638,ACS,
South Dakota,11,42191,ACS,
South Dakota,12,41855,ACS,
South Dakota,13,42064,ACS,
South Dakota,14,42164,ACS,
South Dakota,15,42488,ACS,
South Dakota,16,43048,ACS,
Tennessee,11,47184,ACS,
Tennessee,12,47082,ACS,
Tennessee,13,46899,ACS,
Tennessee,14,46606,ACS,
Tennessee,15,46876,ACS,
Tennessee,16,47420,ACS,
Texas,11,49363,ACS,
Texas,12,49697,ACS,
Texas,13,50164,ACS,
Texas,14,50545,ACS,
Texas,15,51022,ACS,
Texas,16,51871,ACS,
Utah,11,50806,ACS,
Utah,12,50682,ACS,
Utah,13,51333,ACS,
Utah,14,51011,ACS,
Utah,15,51017,ACS,
Utah,16,51687,ACS,
Vermont,11,52684,ACS,
Vermont,12,53507,ACS,
Vermont,13,53193,ACS,
Vermont,14,53855,ACS,
Vermont,15,55342,ACS,
Vermont,16,56393,ACS,
Virginia,11,54607,ACS,
Virginia,12,54466,ACS,
Virginia,13,54337,ACS,
Virginia,14,54059,ACS,
Virginia,15,54325,ACS,
Virginia,16,54881,ACS,
Washington,11,57688,ACS,
Washington,12,58222,ACS,
Washington,13,59050,ACS,
Washington,14,59720,ACS,
Washington,15,60556,ACS,
Washington,16,61274,ACS,
West Virginia,11,44867,ACS,
West Virginia,12,44989,ACS,
West Virginia,13,45419,ACS,
West Virginia,14,45660,ACS,
West Virginia,15,46108,ACS,
West Virginia,16,46352,ACS,
Wisconsin,11,54447,ACS,
Wisconsin,12,54696,ACS,
Wisconsin,13,55014,ACS,
Wisconsin,14,55148,ACS,
Wisconsin,15,55932,ACS,
Wisconsin,16,56410,ACS,
Wyoming,11,56242,ACS,
Wyoming,12,57454,ACS,
Wyoming,13,58297,ACS,
Wyoming,14,58876,ACS,
Wyoming,15,59390,ACS,
Wyoming,16,60316,ACS,
Alabama,11,47803,NEA,
Alabama,12,48003,NEA,
Alabama,13,47949,NEA,
Alabama,14,48720,NEA,
Alabama,15,48611,NEA,est
Alabama,16,49781,NEA,est
Alaska,11,62918,NEA,
Alaska,12,62425,NEA,
Alaska,13,65468,NEA,
Alaska,14,65891,NEA,
Alaska,15,66755,NEA,
Alaska,16,67443,NEA,est
Arizona,11,46637,NEA,
Arizona,12,45193,NEA,
Arizona,13,45264,NEA,
Arizona,14,45335,NEA,est
Arizona,15,45406,NEA,est
Arizona,16,45477,NEA,est
Arkansas,11,45998,NEA,
Arkansas,12,46314,NEA,
Arkansas,13,46631,NEA,
Arkansas,14,47319,NEA,
Arkansas,15,47823,NEA,est
Arkansas,16,48220,NEA,est
California,11,67871,NEA,
California,12,69755,NEA,
California,13,69435,NEA,
California,14,71396,NEA,
California,15,72535,NEA,est
California,16,72842,NEA,est
Colorado,11,49228,NEA,
Colorado,12,49049,NEA,
Colorado,13,49844,NEA,est
Colorado,14,49615,NEA,
Colorado,15,49828,NEA,est
Colorado,16,50039,NEA,est
Connecticut,11,69165,NEA,
