LEAID,AGCHRT,SHYEAR,LAT,LON
607260,2,2002-03,39.4532,-121.048
607440,2,2002-03,33.4797,-117.6699
607680,2,2005-06,40.4479,-122.3066
607900,2,2002-03,38.7218,-121.3924
607920,2,2004-05,33.8963,-118.3614
608130,2,2002-03,37.5902,-120.9487
608340,2,2011-12,39.1442,-120.9774
608370,2,2002-03,39.7341,-121.8257
608460,2,2010-11,34.0191,-117.6918
608610,2,2002-03,32.6319,-117.0585
608700,2,2012-13,38.2582,-122.6656
609030,2,2006-07,36.8365,-119.6894
609070,2,2010-11,33.638,-116.1443
609300,2,2009-10,39.1046,-120.9625
609330,2,2002-03,34.6164,-120.0828
609390,2,2003-04,34.0797,-117.3337
609690,2,2009-10,36.1017,-119.5665
609870,2,2012-13,32.6961,-117.1872
609940,2,2010-11,38.3391,-122.6997
609990,2,2010-11,40.3857,-122.2915
610620,2,2009-10,38.5473,-121.7451
610710,2,2002-03,32.7821,-116.851
610770,2,2004-05,41.7728,-124.2061
610890,2,2009-10,35.7729,-119.2392
610980,2,2012-13,41.7052,-122.5642
611040,2,2002-03,37.5247,-120.8031
611110,2,2002-03,33.7024,-116.2763
611280,2,2004-05,38.4447,-121.8226
611520,2,2013-14,34.1396,-117.9702
611610,2,2010-11,38.3212,-122.7574
611820,2,2002-03,37.3813,-121.8546
611870,2,2002-03,38.2547,-119.2291
612030,2,2009-10,32.7939,-115.5663
612070,2,2002-03,38.6946,-120.8238
612330,2,2002-03,38.4126,-121.3717
612600,2,2012-13,38.7117,-121.4629
612750,2,2005-06,33.0369,-117.2383
612810,2,2002-03,40.5775,-122.3495
612840,2,2012-13,37.7997,-120.9942
612880,2,2002-03,33.1181,-117.1147
612910,2,2002-03,33.1359,-117.0507
613710,2,2010-11,39.5937,-121.2638
613890,2,2004-05,38.6286,-121.2
613980,2,2010-11,39.0101,-120.8438
614010,2,2006-07,38.4726,-122.888
614070,2,2010-11,39.4389,-123.7956
614370,2,2006-07,37.3151,-121.8495
614400,2,2002-03,37.5085,-121.9547
614520,2,2002-03,40.786,-124.082
614550,2,2002-03,36.7363,-119.7868
614950,2,2002-03,40.6306,-122.3874
615180,2,2002-03,37.0157,-121.5622
615390,2,2004-05,38.6926,-120.7173
615480,2,2011-12,39.7315,-121.5284
615600,2,2002-03,34.7961,-118.8527
615780,2,2002-03,39.2225,-121.0756
615810,2,2009-10,37.5729,-120.7921
615840,2,2012-13,38.3609,-122.7857
616230,2,2002-03,32.7807,-116.9863
616325,2,2002-03,34.0096,-117.959
616620,2,2002-03,38.3883,-122.9293
616650,2,2002-03,37.6672,-121.0664
616680,2,2003-04,33.9038,-118.3524
616740,2,2006-07,37.6568,-122.0934
616860,2,2009-10,34.741,-117.3293
616920,2,2006-07,33.7437,-116.9902
617040,2,2009-10,33.8667,-118.3961
617340,2,2012-13,36.8243,-121.4017
618390,2,2003-04,33.9587,-118.3617
618690,2,2002-03,37.9546,-120.4176
618730,2,2002-03,32.7301,-116.8546
618870,2,2005-06,37.679,-122.4846
618930,2,2012-13,37.6692,-122.4785
619110,2,2002-03,33.0775,-116.5945
619140,2,2002-03,33.0788,-116.5949
619540,2,2002-03,35.3425,-119.0653
619620,2,2002-03,37.5526,-120.9089
619650,2,2010-11,36.2085,-121.1336
619680,2,2004-05,36.2091,-121.1271
619700,2,2009-10,36.6042,-119.4547
619800,2,2006-07,36.5252,-119.5533
619890,2,2002-03,36.3297,-119.5826
620040,2,2002-03,37.9679,-121.6603
620790,2,2002-03,32.8568,-116.9258
620880,2,2010-11,34.6947,-118.139
621060,2,2004-05,40.4174,-120.6578
621210,2,2002-03,33.8983,-118.3479
621360,2,2003-04,36.3056,-119.7999
621400,2,2009-10,36.2984,-119.7797
621420,2,2002-03,33.9425,-118.357
621540,2,2004-05,38.2792,-122.7057
621870,2,2011-12,36.2062,-119.088
621990,2,2003-04,36.984,-121.9855
622110,2,2013-14,37.689,-121.7918
622230,2,2002-03,38.1233,-121.2499
622320,2,2002-03,40.6435,-124.2188
622410,2,2009-10,34.6587,-120.4502
622500,2,2002-03,33.8287,-118.2135
622560,2,2009-10,38.8307,-121.2017
622710,2,2002-03,34.0563,-118.2574
622740,2,2011-12,37.0531,-120.8397
622920,2,2002-03,34.6643,-120.111
623160,2,2009-10,33.9264,-118.2
623340,2,2003-04,36.9525,-120.083
623530,2,2003-04,37.6386,-118.9617
623610,2,2012-13,37.8118,-121.251
623800,2,2004-05,38.9114,-121.5432
623820,2,2002-03,35.0553,-119.4027
623940,2,2011-12,37.4898,-119.9652
624000,2,2004-05,38.5012,-122.7421
624090,2,2002-03,39.1585,-121.5861
624540,2,2004-05,33.6883,-117.153
624600,2,2002-03,37.3071,-120.4791
624690,2,2013-14,39.1419,-121.9096
624720,2,2002-03,34.2613,-119.0952
624750,2,2004-05,38.7561,-122.6152
625020,2,2002-03,40.3459,-121.5964
625150,2,2010-11,37.6392,-121.0126
625190,2,2002-03,41.4873,-120.5547
625530,2,2002-03,36.5954,-121.8977
625690,2,2010-11,34.2817,-118.8961
625800,2,2002-03,33.9174,-117.2152
625830,2,2002-03,37.1118,-121.6349
625860,2,2011-12,34.1516,-116.0366
625980,2,2005-06,38.7085,-120.8292
626040,2,2002-03,41.3189,-122.3099
626100,2,2003-04,32.7321,-116.4927
626310,2,2002-03,37.3613,-122.0654
626370,2,2002-03,37.9867,-122.0069
626400,2,2010-11,37.3487,-121.8005
626460,2,2012-13,34.3839,-119.0704
626640,2,2002-03,38.3087,-122.2969
626670,2,2003-04,32.6737,-117.0902
626820,2,2002-03,39.2542,-121.0317
626880,2,2011-12,39.2417,-121.0542
627030,2,2002-03,37.6683,-121.3245
627120,2,2004-05,38.8748,-121.134
627590,2,2002-03,36.796,-121.7858
627720,2,2002-03,38.1096,-122.5782
627750,2,2005-06,39.1874,-121.6798
627780,2,2002-03,33.8216,-117.1311
627840,2,2004-05,38.4379,-122.8063
628050,2,2002-03,37.8132,-122.2883
628250,2,2002-03,33.2058,-117.3626
628270,2,2002-03,34.448,-119.2426
628320,2,2012-13,38.246,-122.6109
628530,2,2011-12,36.6828,-119.7813
628650,2,2002-03,33.8107,-117.827
628710,2,2009-10,34.8613,-120.4428
628950,2,2002-03,34.5991,-117.3336
629130,2,2002-03,39.5094,-121.5471
629270,2,2006-07,34.2053,-119.1912
629430,2,2006-07,40.8947,-124.0934
629490,2,2002-03,36.9392,-121.7688
629550,2,2010-11,33.8232,-116.5372
629580,2,2002-03,34.5935,-118.1121
629790,2,2005-06,37.6249,-121.0556
629820,2,2002-03,39.7787,-121.5899
629910,2,2004-05,36.6174,-119.5276
629940,2,2004-05,34.1402,-118.1339
630030,2,2002-03,37.4738,-121.1612
630180,2,2011-12,33.7855,-117.2271
630210,2,2002-03,33.7823,-117.2271
630230,2,2002-03,38.229,-122.6437
630250,2,2002-03,38.229,-122.6437
630450,2,2002-03,38.4737,-122.7467
630480,2,2002-03,38.6067,-120.7108
630720,2,2010-11,38.996,-121.0232
630930,2,2004-05,39.0513,-121.0662
630990,2,2002-03,34.2235,-119.0303
631170,2,2002-03,39.9368,-120.9441
631180,2,2004-05,39.0269,-121.5153
631320,2,2007-08,34.0524,-117.7499
631680,2,2011-12,36.6007,-119.9069
631710,2,2002-03,33.0395,-116.8631
631830,2,2009-10,40.8202,-120.578
631860,2,2002-03,37.4634,-122.1439
631950,2,2002-03,39.2548,-121.1984
631980,2,2002-03,40.1564,-122.2505
632010,2,2009-10,40.1782,-122.2517
632040,2,2002-03,40.5311,-122.3721
632070,2,2002-03,34.0701,-117.1827
632130,2,2002-03,37.4886,-122.2274
632370,2,2002-03,34.1306,-117.3715
632550,2,2002-03,37.934,-122.3585
632640,2,2004-05,38.4442,-122.6752
632880,2,2012-13,37.7421,-121.1276
633110,2,2007-08,38.1574,-121.6949
633150,2,2003-04,33.9743,-117.3744
633210,2,2010-11,37.6383,-120.6187
633510,2,2003-04,38.4192,-122.7307
633720,2,2002-03,39.7944,-123.2579
633750,2,2009-10,33.9849,-117.8891
633840,2,2002-03,38.5114,-121.4384
633860,2,2002-03,33.6215,-117.6839
633900,2,2009-10,37.7077,-121.0775
634170,2,2002-03,34.1134,-117.2964
634290,2,2002-03,37.5013,-122.2476
634320,2,2002-03,32.755,-117.1467
634410,2,2002-03,37.7794,-122.4219
634425,2,2002-03,34.0972,-118.1051
634440,2,2002-03,33.7652,-116.9587
634590,2,2002-03,37.3355,-121.9111
634620,2,2002-03,38.6333,-121.3459
634680,2,2002-03,37.6961,-122.1605
634710,2,2006-07,37.6892,-122.1288
