LEAID,SHYEAR,AGCHRT,LAT,LON
100002,1998-99,3,33.673661,-86.628755
100005,1998-99,3,34.2675,-86.2086
100006,1998-99,3,34.304968,-86.286673
100007,1998-99,3,33.4062,-86.7669
100008,1998-99,3,34.687312,-86.744874
100009,1998-99,3,33.435545,-86.102067
100010,1998-99,3,NA,NA
100030,1998-99,3,32.941095,-85.958426
100060,1998-99,3,31.3104,-86.4772
100090,1998-99,3,33.707086,-85.821631
100100,1998-99,3,34.327875,-86.488261
100120,1998-99,3,34.81389,-86.946741
100180,1998-99,3,33.9956,-86.1111
100210,1998-99,3,32.598834,-85.464058
100240,1998-99,3,32.46275,-86.474211
100270,1998-99,3,30.910814,-87.787195
100300,1998-99,3,31.878283,-85.453785
100330,1998-99,3,33.400707,-86.95802
100360,1998-99,3,32.945405,-87.143254
100390,1998-99,3,33.519991,-86.809068
100420,1998-99,3,33.94564,-86.476448
100450,1998-99,3,31.1177,-87.0723
100480,1998-99,3,32.144541,-85.71635
100510,1998-99,3,31.815298,-86.628715
100540,1998-99,3,33.69753,-85.824331
100600,1998-99,3,32.8917,-85.3817
100630,1998-99,3,34.151788,-85.67843
100660,1998-99,3,32.869902,-86.621849
100690,1998-99,3,32.07944,-88.233236
100720,1998-99,3,31.709818,-87.780277
100750,1998-99,3,33.274462,-85.835284
100780,1998-99,3,33.677803,-85.552196
100810,1998-99,3,31.4109,-86.0563
100840,1998-99,3,34.713846,-87.708736
100870,1998-99,3,31.434566,-86.954828
100900,1998-99,3,32.887987,-86.224435
100930,1998-99,3,31.3215,-86.4814
100960,1998-99,3,31.705059,-86.267718
100990,1998-99,3,34.179015,-86.840793
101020,1998-99,3,34.012726,-86.75109
101050,1998-99,3,31.316339,-85.546946
101080,1998-99,3,31.31601,-85.710273
101110,1998-99,3,32.4118,-87.0236
101140,1998-99,3,34.566801,-85.569092
101170,1998-99,3,34.606,-86.9825
101200,1998-99,3,32.511113,-87.835191
101230,1998-99,3,31.218124,-85.394491
101260,1998-99,3,31.428518,-86.101554
101290,1998-99,3,32.550262,-86.219463
101320,1998-99,3,31.323218,-85.851124
101350,1998-99,3,31.10606,-87.071642
101380,1998-99,3,34.0223,-86.0544
101410,1998-99,3,31.867593,-85.151491
101440,1998-99,3,33.474848,-86.913721
101470,1998-99,3,33.6859,-87.8312
101530,1998-99,3,34.79955,-87.675921
101560,1998-99,3,34.484571,-85.672822
101590,1998-99,3,34.507672,-87.727593
101620,1998-99,3,34.014,-86.0169
101640,1998-99,3,31.042561,-85.879257
101660,1998-99,3,31.0401,-85.8662
101680,1998-99,3,32.841045,-87.889172
101690,1998-99,3,34.309167,-86.337834
101710,1998-99,3,32.707302,-87.593825
101720,1998-99,3,34.226225,-87.607976
101730,1998-99,3,34.4465,-86.931
101740,1998-99,3,31.567385,-85.251917
101760,1998-99,3,33.475484,-86.805313
101770,1998-99,3,31.2207,-85.3972
101800,1998-99,3,34.7342,-86.5778
101830,1998-99,3,34.675814,-86.061798
101860,1998-99,3,33.815375,-85.761522
101890,1998-99,3,33.834773,-87.279615
101920,1998-99,3,33.4871,-86.7926
101950,1998-99,3,33.752826,-88.118535
101980,1998-99,3,32.868159,-85.19127
102010,1998-99,3,34.832581,-87.621242
102040,1998-99,3,34.4755,-87.2926
102070,1998-99,3,32.622664,-85.388015
102100,1998-99,3,34.801185,-86.97229
102130,1998-99,3,32.307252,-87.797947
102160,1998-99,3,32.18355,-86.580757
102190,1998-99,3,32.421528,-85.685735
102220,1998-99,3,34.784861,-86.51995
102250,1998-99,3,32.306364,-87.796435
102310,1998-99,3,34.116746,-87.994381
102350,1998-99,3,33.459513,-86.911652
102370,1998-99,3,30.7199,-88.2255
102400,1998-99,3,31.517966,-87.317832
102430,1998-99,3,32.3739,-86.3023
102480,1998-99,3,34.559355,-86.968061
102490,1998-99,3,33.5022,-86.754
102520,1998-99,3,34.733552,-87.635204
102550,1998-99,3,33.933262,-86.49593
102580,1998-99,3,32.644093,-85.390836
102610,1998-99,3,31.2866,-86.250821
102635,1998-99,3,33.61355,-85.829885
102640,1998-99,3,31.449558,-85.65472
102650,1998-99,3,33.605425,-86.273831
102670,1998-99,3,32.634364,-87.320388
102700,1998-99,3,32.4698,-85.004638
102730,1998-99,3,33.253312,-88.169038
102760,1998-99,3,33.926817,-85.615822
102790,1998-99,3,31.806562,-85.972305
102820,1998-99,3,33.312356,-85.478042
102850,1998-99,3,33.150791,-85.368779
102880,1998-99,3,32.472884,-84.999531
102910,1998-99,3,34.527047,-87.737309
102940,1998-99,3,34.671074,-86.031277
102970,1998-99,3,32.4292,-87.0243
103000,1998-99,3,34.763987,-87.70188
103030,1998-99,3,33.179791,-86.601841
103062,1998-99,3,33.819,-86.2696
103090,1998-99,3,32.602705,-88.200342
103120,1998-99,3,33.1728,-86.26
103150,1998-99,3,33.4315,-86.1096
103180,1998-99,3,33.432709,-86.101875
103210,1998-99,3,32.83064,-85.754477
103240,1998-99,3,32.5368,-85.8929
103270,1998-99,3,33.572913,-86.780555
103300,1998-99,3,31.88773,-87.735221
103330,1998-99,3,31.780796,-85.964121
103360,1998-99,3,33.2038,-87.5614
103390,1998-99,3,33.20348,-87.566401
103420,1998-99,3,34.73662,-87.700111
103430,1998-99,3,33.4319,-86.7886
103450,1998-99,3,33.834609,-87.274634
103480,1998-99,3,31.466277,-88.256794
103510,1998-99,3,32.003524,-87.289226
103540,1998-99,3,33.931415,-87.812039
103580,1998-99,3,34.147886,-87.40249
200001,1998-99,3,60.8026,-161.7704
200003,1998-99,3,62.169506,-163.871443
200004,1998-99,3,60.900132,-161.420534
200005,1998-99,3,61.5307,-165.5846
200006,1998-99,3,57.05181,-135.358
200007,1998-99,3,55.340235,-160.498127
200010,1998-99,3,61.1736,-149.882
200020,1998-99,3,63.875697,-160.789808
200030,1998-99,3,58.7333,-157.0046
200050,1998-99,3,63.910283,-142.214868
200060,1998-99,3,60.544838,-145.757063
200070,1998-99,3,62.1126,-145.5297
200090,1998-99,3,55.474873,-133.135245
200120,1998-99,3,59.042379,-158.464858
200240,1998-99,3,57.064408,-135.352867
200270,1998-99,3,59.235283,-135.454105
200300,1998-99,3,58.107772,-135.4409
200330,1998-99,3,55.204,-132.8255
200360,1998-99,3,56.9756,-133.9467
200450,1998-99,3,55.552764,-133.098906
200480,1998-99,3,57.794074,-152.395229
200485,1998-99,3,58.702803,-156.666584
200525,1998-99,3,55.127577,-131.576352
200540,1998-99,3,64.561776,-149.088866
200610,1998-99,3,71.291437,-156.790327
200625,1998-99,3,66.902207,-162.58468
200630,1998-99,3,57.957223,-136.222047
200660,1998-99,3,56.814705,-132.954712
200670,1998-99,3,57.125898,-170.283094
200680,1998-99,3,62.051372,-163.180051
200690,1998-99,3,59.463181,-135.307408
200700,1998-99,3,55.701689,-132.526585
200710,1998-99,3,59.042636,-158.468518
200715,1998-99,3,65.170496,-152.080839
200720,1998-99,3,53.86911,-166.522628
200730,1998-99,3,57.498866,-134.585039
200760,1998-99,3,61.58351,-159.545588
200770,1998-99,3,63.873487,-149.020277
200775,1998-99,3,66.564473,-145.254946
200780,1998-99,3,61.13363,-146.374552
200800,1998-99,3,61.136451,-149.848192
200810,1998-99,3,56.471753,-132.375612
200840,1998-99,3,59.5464,-139.7236
200862,1998-99,3,64.83593,-147.826946
200863,1998-99,3,NA,NA
400001,1998-99,3,33.78835,-111.956391
400003,1998-99,3,34.7464,-112.453771
400004,1998-99,3,34.767043,-112.067391
400005,1998-99,3,33.781927,-113.619871
400006,1998-99,3,NA,NA
400016,1998-99,3,31.55762,-110.290171
400017,1998-99,3,NA,NA
400018,1998-99,3,35.191784,-111.666654
400019,1998-99,3,35.2379,-111.6688
400020,1998-99,3,35.200466,-111.631429
400021,1998-99,3,36.996409,-113.002914
400022,1998-99,3,34.2535,-109.6922
400023,1998-99,3,36.197866,-110.22352
400026,1998-99,3,34.426548,-110.59637
400027,1998-99,3,NA,NA
400028,1998-99,3,32.83311,-109.7052
400029,1998-99,3,NA,NA
400030,1998-99,3,NA,NA
400031,1998-99,3,33.79011,-112.120611
400032,1998-99,3,NA,NA
400033,1998-99,3,33.4041,-111.8362
400034,1998-99,3,33.6207,-112.115121
400035,1998-99,3,NA,NA
400036,1998-99,3,33.77625,-111.926627
400037,1998-99,3,33.524779,-112.122939
400038,1998-99,3,NA,NA
400039,1998-99,3,NA,NA
400040,1998-99,3,33.424037,-111.829961
400041,1998-99,3,33.44933,-111.997097
400042,1998-99,3,NA,NA
400043,1998-99,3,33.415439,-111.919058
400044,1998-99,3,NA,NA
400045,1998-99,3,NA,NA
400046,1998-99,3,NA,NA
400047,1998-99,3,33.506913,-111.838363
400048,1998-99,3,NA,NA
400049,1998-99,3,NA,NA
400050,1998-99,3,NA,NA
400051,1998-99,3,NA,NA
400052,1998-99,3,33.401893,-112.071566
400053,1998-99,3,33.41415,-111.8321
400054,1998-99,3,33.5048,-112.021131
400055,1998-99,3,33.551151,-112.115548
400056,1998-99,3,33.4645,-112.0694
400057,1998-99,3,33.456438,-112.081162
400058,1998-99,3,NA,NA
400059,1998-99,3,NA,NA
400060,1998-99,3,NA,NA
400061,1998-99,3,33.5531,-112.1068
400062,1998-99,3,NA,NA
400063,1998-99,3,NA,NA
