LEAID,SHYEAR,AGCHRT,LAT,LON
4800016,1998-99,1,32.741615,-96.82762
4800017,1998-99,1,29.7016,-95.4076
4800018,1998-99,1,29.71828,-95.47854
4800019,1998-99,1,29.7964,-95.8215
4800020,1998-99,1,29.71388,-95.31281
4800021,1998-99,1,29.6786,-95.525
4800022,1998-99,1,25.93547,-97.508421
4800023,1998-99,1,26.25756,-98.185751
4800024,1998-99,1,31.545124,-97.154683
4800025,1998-99,1,27.757901,-97.432938
4800026,1998-99,1,NA,NA
4800027,1998-99,1,30.2157,-97.7459
4800028,1998-99,1,NA,NA
4800029,1998-99,1,32.78473,-96.80099
4800030,1998-99,1,32.79447,-96.824241
4800031,1998-99,1,29.7236,-95.341
4800032,1998-99,1,29.668098,-95.311084
4800033,1998-99,1,NA,NA
4800034,1998-99,1,32.29619,-95.287021
4800035,1998-99,1,29.71196,-95.591291
4800036,1998-99,1,33.867791,-98.527823
4800037,1998-99,1,31.85745,-106.558859
4800038,1998-99,1,NA,NA
4800039,1998-99,1,NA,NA
4800040,1998-99,1,NA,NA
4800041,1998-99,1,32.6474,-96.9217
4800042,1998-99,1,31.582112,-97.134808
4800043,1998-99,1,29.508604,-95.094524
4800044,1998-99,1,30.1676,-97.7848
4800045,1998-99,1,NA,NA
4800046,1998-99,1,NA,NA
4800047,1998-99,1,NA,NA
4800048,1998-99,1,30.533748,-95.553705
4800049,1998-99,1,29.7612,-95.359
4800050,1998-99,1,29.4472,-98.50938
4800051,1998-99,1,NA,NA
4800052,1998-99,1,NA,NA
4800053,1998-99,1,29.5397,-98.6524
4800054,1998-99,1,29.66936,-95.566261
4800055,1998-99,1,32.57704,-96.821441
4800056,1998-99,1,29.374311,-95.000598
4800057,1998-99,1,NA,NA
4800058,1998-99,1,30.402255,-97.678514
4800059,1998-99,1,29.4388,-98.503311
4800060,1998-99,1,NA,NA
4800061,1998-99,1,29.383942,-98.477772
4800062,1998-99,1,29.488281,-98.513966
4800063,1998-99,1,29.488719,-98.443171
4800064,1998-99,1,30.43798,-97.691771
4800065,1998-99,1,26.156705,-97.990571
4800066,1998-99,1,30.27319,-97.672261
4800067,1998-99,1,31.12302,-97.725196
4800068,1998-99,1,32.8224,-97.0956
4800069,1998-99,1,29.962258,-95.481009
4800070,1998-99,1,32.842776,-96.95819
4800071,1998-99,1,30.3746,-97.7387
4800072,1998-99,1,32.76371,-96.696769
4800073,1998-99,1,29.656845,-95.466074
5513320,1998-99,1,NA,NA
400016,1999-00,1,31.55762,-110.290171
400018,1999-00,1,35.191784,-111.666654
400019,1999-00,1,35.2379,-111.6688
400020,1999-00,1,35.200466,-111.631429
400027,1999-00,1,NA,NA
400028,1999-00,1,32.83311,-109.7052
400030,1999-00,1,NA,NA
400031,1999-00,1,33.79011,-112.120611
400033,1999-00,1,33.4041,-111.8362
400034,1999-00,1,33.6207,-112.115121
400036,1999-00,1,33.77625,-111.926627
400037,1999-00,1,33.524779,-112.122939
400038,1999-00,1,NA,NA
400039,1999-00,1,NA,NA
400040,1999-00,1,33.424037,-111.829961
400041,1999-00,1,33.44933,-111.997097
400043,1999-00,1,33.415439,-111.919058
400044,1999-00,1,NA,NA
400045,1999-00,1,NA,NA
400046,1999-00,1,NA,NA
400047,1999-00,1,33.506913,-111.838363
400048,1999-00,1,NA,NA
400049,1999-00,1,NA,NA
400050,1999-00,1,NA,NA
400051,1999-00,1,NA,NA
400052,1999-00,1,33.401893,-112.071566
400053,1999-00,1,33.41415,-111.8321
400054,1999-00,1,33.5048,-112.021131
400055,1999-00,1,33.551151,-112.115548
400056,1999-00,1,33.4645,-112.0694
400057,1999-00,1,33.456438,-112.081162
400058,1999-00,1,NA,NA
400059,1999-00,1,NA,NA
400060,1999-00,1,NA,NA
400061,1999-00,1,33.5531,-112.1068
400062,1999-00,1,NA,NA
400063,1999-00,1,NA,NA
400064,1999-00,1,NA,NA
400065,1999-00,1,33.33634,-111.775861
400066,1999-00,1,NA,NA
400067,1999-00,1,33.392756,-112.094493
400068,1999-00,1,33.57,-112.0825
400069,1999-00,1,33.475943,-112.069649
400070,1999-00,1,33.39237,-111.918811
400071,1999-00,1,33.308508,-111.874099
400072,1999-00,1,33.393979,-111.769652
400073,1999-00,1,NA,NA
400074,1999-00,1,35.2228,-114.028561
400075,1999-00,1,35.033769,-114.595663
400077,1999-00,1,34.4809,-110.0974
400078,1999-00,1,32.235036,-110.934282
400079,1999-00,1,32.2453,-110.9719
400080,1999-00,1,NA,NA
400081,1999-00,1,32.265323,-110.946866
400083,1999-00,1,32.167903,-110.943742
400084,1999-00,1,NA,NA
400085,1999-00,1,NA,NA
400087,1999-00,1,NA,NA
400088,1999-00,1,NA,NA
400089,1999-00,1,34.8659,-111.82
400090,1999-00,1,34.788398,-112.494417
400091,1999-00,1,NA,NA
400092,1999-00,1,34.58119,-112.357264
400093,1999-00,1,34.541345,-112.456293
400094,1999-00,1,32.677818,-114.646946
400095,1999-00,1,32.699216,-114.669045
400096,1999-00,1,35.162569,-111.669209
400097,1999-00,1,35.1989,-111.6059
400098,1999-00,1,35.212701,-111.645438
400099,1999-00,1,33.400251,-110.776081
400100,1999-00,1,33.644943,-112.083244
400101,1999-00,1,33.553851,-112.245727
400102,1999-00,1,33.4397,-112.0751
400103,1999-00,1,33.6129,-112.0133
400104,1999-00,1,33.350741,-111.914317
400105,1999-00,1,33.38108,-111.732251
400106,1999-00,1,33.655167,-112.001566
400107,1999-00,1,33.513239,-112.064352
400108,1999-00,1,33.5134,-112.065
400109,1999-00,1,33.491463,-112.048708
400110,1999-00,1,NA,NA
400111,1999-00,1,33.3492,-111.9133
400112,1999-00,1,33.279393,-111.801653
400113,1999-00,1,33.623857,-111.718278
400114,1999-00,1,NA,NA
400115,1999-00,1,32.26677,-110.734941
400116,1999-00,1,NA,NA
400117,1999-00,1,NA,NA
400118,1999-00,1,NA,NA
400121,1999-00,1,33.582212,-111.992879
400122,1999-00,1,33.49562,-112.224711
400123,1999-00,1,NA,NA
400124,1999-00,1,33.465396,-112.066142
400125,1999-00,1,32.256707,-111.024313
400126,1999-00,1,32.2648,-110.952
400127,1999-00,1,NA,NA
400128,1999-00,1,33.453416,-112.003652
400129,1999-00,1,32.30313,-111.063
400130,1999-00,1,34.732399,-112.004473
400131,1999-00,1,33.5065,-111.9646
400132,1999-00,1,NA,NA
400133,1999-00,1,33.580663,-112.226933
400134,1999-00,1,33.55305,-111.897531
400135,1999-00,1,33.643183,-112.185551
400136,1999-00,1,NA,NA
400137,1999-00,1,NA,NA
400138,1999-00,1,NA,NA
400139,1999-00,1,NA,NA
400140,1999-00,1,NA,NA
400141,1999-00,1,32.901398,-109.844985
400142,1999-00,1,NA,NA
400143,1999-00,1,NA,NA
400144,1999-00,1,33.507299,-112.08305
400145,1999-00,1,33.446189,-111.831648
400146,1999-00,1,NA,NA
400147,1999-00,1,32.22257,-110.9516
400148,1999-00,1,NA,NA
400149,1999-00,1,33.5528,-112.048
400150,1999-00,1,31.3383,-110.9368
400151,1999-00,1,33.408068,-111.821157
400152,1999-00,1,32.1757,-110.7709
400154,1999-00,1,36.6004,-110.6564
400155,1999-00,1,NA,NA
400156,1999-00,1,NA,NA
400157,1999-00,1,33.388081,-111.814252
400159,1999-00,1,32.272,-110.971
400160,1999-00,1,32.146098,-110.990322
400161,1999-00,1,33.552472,-112.102946
400162,1999-00,1,NA,NA
400164,1999-00,1,33.4686,-112.0737
400165,1999-00,1,33.295654,-112.06055
400177,1999-00,1,NA,NA
400181,1999-00,1,33.620224,-111.993073
400182,1999-00,1,33.437406,-111.627646
400183,1999-00,1,NA,NA
400184,1999-00,1,33.339426,-111.875183
400186,1999-00,1,NA,NA
400187,1999-00,1,33.809697,-112.066564
400189,1999-00,1,33.437725,-111.790363
400190,1999-00,1,33.494558,-112.155637
400191,1999-00,1,33.37523,-112.069841
400192,1999-00,1,33.35343,-111.457801
400198,1999-00,1,NA,NA
